YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-01,Pakistan,461,357,248,109,729,2,16,2,14,465,230,712,156,2,13,2,14,427,98,0,3,0,0,38,90,42
2018-02,Pakistan,461,301,226,75,489,1,12,4,7,295,170,656,157,1,11,4,6,275,91,0,1,0,1,20,49,30
2018-03,Pakistan,461,283,179,104,501,1,10,0,11,300,179,551,196,1,10,0,10,281,98,0,0,0,1,19,47,34
2018-04,Pakistan,461,242,150,92,511,0,12,3,5,285,206,483,182,0,11,2,4,265,99,0,1,1,1,20,80,27
2018-05,Pakistan,461,236,148,88,371,1,8,3,2,168,189,466,172,1,5,1,2,160,84,0,3,2,0,8,77,28
2018-06,Pakistan,461,243,145,98,345,0,4,1,2,195,143,447,175,0,4,1,2,183,56,0,0,0,0,12,72,15
2018-07,Pakistan,461,250,148,102,317,0,11,0,0,159,147,447,188,0,11,0,0,148,57,0,0,0,0,11,78,12
2018-08,Pakistan,461,276,175,101,339,4,6,0,2,180,147,452,192,4,6,0,2,169,56,0,0,0,0,11,77,14
2018-09,Pakistan,461,260,175,85,285,0,12,0,9,119,145,497,190,0,11,0,7,113,61,0,1,0,2,6,68,16
2018-10,Pakistan,461,307,212,95,346,0,12,0,1,165,168,544,173,0,12,0,0,146,66,0,0,0,1,19,82,20
2018-11,Pakistan,461,329,180,149,415,0,11,0,10,203,191,480,210,0,10,0,7,190,84,0,1,0,3,13,89,18
2018-12,Pakistan,461,226,129,97,247,0,4,4,5,115,119,457,243,0,4,4,5,111,61,0,0,0,0,4,46,12
2019-01,Pakistan,461,417,261,156,368,0,13,0,2,142,211,539,251,0,12,0,2,126,70,0,1,0,0,16,115,26
2019-02,Pakistan,461,306,214,92,369,0,21,2,3,165,178,561,239,0,21,2,3,147,77,0,0,0,0,18,73,28
2019-03,Pakistan,461,267,164,103,376,2,27,0,0,160,187,493,256,2,25,0,0,146,94,0,2,0,0,14,75,18
2019-04,Pakistan,461,255,153,102,338,0,9,0,3,119,207,484,227,0,8,0,1,112,73,0,1,0,2,7,108,26
2019-05,Pakistan,461,259,165,94,295,0,8,0,3,110,174,505,213,0,8,0,1,104,66,0,0,0,2,6,93,15
2019-06,Pakistan,461,223,128,95,289,2,13,0,2,110,162,470,222,2,12,0,1,105,77,0,1,0,1,5,67,18
