YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,Eritrea,224,966,958,8,2210,6,1017,608,64,48,467,12084,201,6,1016,607,63,48,456,0,1,1,1,0,6,5
2017-02,Eritrea,224,1087,1079,8,2536,7,1056,626,80,37,730,10828,186,7,1053,625,69,37,707,0,3,1,11,0,3,20
2017-03,Eritrea,224,1048,1035,13,3013,37,1218,860,47,70,781,9113,164,37,1208,857,41,70,756,0,10,3,6,0,14,11
2017-04,Eritrea,224,852,846,6,2656,41,1146,806,91,38,534,7478,159,41,1142,803,82,37,524,0,4,3,9,1,4,6
201705,Eritrea,224,799,784,15,2736,17,1138,985,115,65,416,5642,127,17,1133,977,98,64,388,0,5,8,17,1,9,19
2017-06,Eritrea,224,975,954,21,1629,68,674,587,51,34,215,5115,130,68,674,585,43,33,197,0,0,2,8,1,3,15
2017-07,Eritrea,224,742,728,14,1900,111,804,715,52,23,195,4052,123,111,798,711,41,23,181,0,6,4,11,0,4,10
2017-08,Eritrea,224,442,414,28,1655,65,677,616,62,36,199,2975,110,64,664,613,45,36,162,1,13,3,17,0,6,31
2017-09,Eritrea,224,616,593,23,1038,55,386,380,40,16,161,2759,105,55,381,376,31,16,129,0,5,4,9,0,2,30
2017-10,Eritrea,224,703,658,45,1218,72,487,413,39,22,185,2408,109,72,483,413,28,22,144,0,4,0,11,0,7,34
2017-11,Eritrea,224,562,513,49,1212,92,448,373,55,39,205,1988,93,92,440,369,37,39,151,0,8,4,18,0,9,45
2017-12,Eritrea,224,815,794,21,1036,94,374,357,38,39,134,2006,78,94,372,354,33,39,103,0,2,3,5,0,8,23
2018-01,Eritrea,224,455,423,32,1091,101,386,410,33,26,135,1587,76,101,383,408,22,26,114,0,3,2,11,0,4,17
2018-02,Eritrea,224,336,289,47,663,39,238,213,18,25,130,1533,82,39,234,211,10,23,96,0,4,2,8,2,13,21
2018-03,Eritrea,224,704,676,28,771,33,235,228,26,15,234,1789,79,33,232,221,15,15,213,0,3,7,11,0,5,16
2018-04,Eritrea,224,779,759,20,1049,12,206,492,19,33,287,1793,75,12,206,489,12,33,258,0,0,3,7,0,8,21
2018-05,Eritrea,224,470,441,29,778,7,89,327,18,33,304,1668,74,7,87,325,9,33,283,0,2,2,9,0,6,15
2018-06,Eritrea,224,423,399,24,595,3,33,190,30,33,306,1658,73,3,31,185,23,33,284,0,2,5,7,0,10,12
